RowId,Speed_Diff
1,None
2,Medium
3,None
4,High
5,Low
6,Medium
7,Medium
8,Medium
9,None
10,Medium
11,None
12,None
13,Medium
14,High
15,Medium
16,High
17,None
18,High
19,Low
20,None
21,None
22,Low
23,Low
24,None
25,Medium
26,Medium
27,High
28,None
29,None
30,High
31,None
32,Low
33,High
34,Medium
35,None
36,None
37,Medium
38,Medium
39,Medium
40,None
41,Low
42,None
43,High
44,Very_High
45,High
46,Medium
47,Low
48,Low
49,Medium
50,Low
51,Medium
52,Medium
53,Medium
54,Medium
55,None
56,High
57,Very_High
58,High
59,High
60,None
61,None
62,Low
63,None
64,None
65,Very_High
66,None
67,High
68,Low
69,High
70,High
71,None
72,Medium
73,Medium
74,Medium
75,High
76,High
77,Low
78,None
79,Medium
80,High
81,Low
82,Low
83,Very_High
84,None
85,None
86,Medium
87,None
88,Medium
89,None
90,Very_High
91,Medium
92,None
93,None
94,High
95,Medium
96,None
97,Very_High
98,None
99,None
100,Very_High
101,Medium
102,Low
103,None
104,None
105,High
106,Low
107,Very_High
108,Medium
109,Low
110,None
111,Low
112,None
113,High
114,High
115,None
116,Low
117,Low
118,None
119,None
120,Very_High
121,None
122,None
123,Medium
124,Medium
125,Medium
126,Medium
127,Medium
128,High
129,Medium
130,None
131,Low
132,None
133,Medium
134,High
135,Very_High
136,Medium
137,Low
138,High
139,High
140,None
141,Low
142,Very_High
143,High
144,High
145,Low
146,Medium
147,Medium
148,High
149,Medium
150,None
151,High
152,None
153,Low
154,Medium
155,Very_High
156,Low
157,High
158,High
159,High
160,Low
161,High
162,High
163,None
164,Low
165,Medium
166,Medium
167,High
168,None
169,Medium
170,None
171,None
172,Medium
173,None
174,None
175,Medium
176,None
177,Medium
178,Medium
179,High
180,None
181,High
182,High
183,Low
184,Very_High
185,None
186,Low
187,Medium
188,High
189,Very_High
190,None
191,None
192,Low
193,High
194,Medium
195,None
196,Low
197,High
198,High
199,Low
200,Very_High
201,Medium
202,Low
203,Medium
204,Low
205,Medium
206,None
207,High
208,Low
209,Low
210,None
211,None
212,None
213,Medium
214,None
215,Medium
216,None
217,Low
218,Very_High
219,Very_High
220,None
221,Low
222,None
223,Medium
224,Very_High
225,High
226,None
227,None
228,High
229,High
230,Very_High
231,None
232,High
233,None
234,Medium
235,None
236,Low
237,None
238,High
239,Medium
240,None
241,Low
242,None
243,Medium
244,Medium
245,Low
246,Very_High
247,None
248,None
249,High
250,High
251,None
252,Medium
253,Medium
254,Low
255,Medium
256,High
257,None
258,Low
259,None
260,Low
261,None
262,None
263,None
264,Medium
265,Low
266,Medium
267,Medium
268,Medium
269,Low
270,Medium
271,Medium
272,None
273,Medium
274,Medium
275,Low
276,Low
277,Medium
278,High
279,None
280,None
281,High
282,None
283,None
284,Medium
285,Low
286,Medium
287,High
288,None
289,Medium
290,Very_High
291,None
292,Low
293,Low
294,Very_High
295,None
296,Medium
297,Low
298,Medium
299,None
300,None
301,None
302,None
303,None
304,Low
305,None
306,Low
307,Medium
308,None
309,None
310,Low
311,None
312,Low
313,None
314,Medium
315,None
316,Very_High
317,Low
318,Medium
319,Very_High
320,Medium
321,Low
322,Medium
323,None
324,Medium
325,None
326,High
327,None
328,High
329,High
330,Medium
331,High
332,Low
333,None
334,Medium
335,None
336,Very_High
337,Low
338,None
339,High
340,High
341,None
342,Low
343,None
344,Low
345,None
346,High
347,None
348,None
349,Medium
350,Medium
351,None
352,Very_High
353,None
354,Very_High
355,Medium
356,Very_High
357,None
358,Medium
359,High
360,High
361,Low
362,Low
363,Medium
364,Very_High
365,Medium
366,Medium
367,Low
368,Medium
369,None
370,Medium
371,Low
372,Medium
373,None
374,None
375,Low
376,Low
377,None
378,None
379,Very_High
380,Low
381,None
382,None
383,Low
384,High
385,None
386,Low
387,None
388,High
389,High
390,Medium
391,Low
392,Medium
393,High
394,None
395,Medium
396,None
397,Medium
398,None
399,Low
400,None
401,Low
402,High
403,Medium
404,Very_High
405,None
406,Medium
407,High
408,Low
409,Medium
410,None
411,None
412,Low
413,Medium
414,None
415,Low
416,Very_High
417,None
418,None
419,Medium
420,Medium
421,Low
422,None
423,Medium
424,Low
425,Medium
426,None
427,Low
428,Low
429,High
430,Medium
431,Low
432,Medium
433,Low
434,High
435,Medium
436,None
437,None
438,Low
439,Medium
440,Medium
441,High
442,High
443,Very_High
444,Medium
445,Medium
446,High
447,None
448,Medium
449,Medium
450,High
451,Medium
452,Low
453,None
454,None
455,None
456,Medium
457,High
458,None
459,Low
460,High
461,None
462,None
463,High
464,None
465,None
466,High
467,Medium
468,Low
469,Medium
470,High
471,Medium
472,Low
473,Low
474,Low
475,Very_High
476,Low
477,Low
478,Medium
479,Very_High
480,High
481,Medium
482,Medium
483,Low
484,Very_High
485,Medium
486,High
487,Medium
488,High
489,None
490,None
491,Very_High
492,None
493,High
494,None
495,High
496,Low
497,None
498,Low
499,Low
500,Low
501,None
502,Medium
503,None
504,Low
505,High
506,Medium
507,None
508,None
509,Low
510,None
511,None
512,None
513,High
514,Low
515,Low
516,None
517,Very_High
518,Medium
519,Very_High
520,None
521,Very_High
522,None
523,None
524,Medium
525,High
526,None
527,None
528,None
529,Medium
530,None
531,Very_High
532,Low
533,Medium
534,Low
535,Low
536,Low
537,High
538,Low
539,Medium
540,None
541,High
542,High
543,None
544,Medium
545,Very_High
546,None
547,None
548,None
549,High
550,None
551,Very_High
552,Medium
553,None
554,Low
555,High
556,Medium
557,High
558,None
559,Medium
560,Low
561,Low
562,Low
563,None
564,None
565,None
566,None
567,Medium
568,Medium
569,Medium
570,Low
571,Low
572,Very_High
573,High
574,None
575,Medium
576,High
577,High
578,Low
579,None
580,None
581,Medium
582,Medium
583,Low
584,High
585,Very_High
586,None
587,None
588,Medium
589,Low
590,Very_High
591,High
592,None
593,Medium
594,None
595,None
596,None
597,None
598,Medium
599,None
600,Medium
601,High
602,High
603,High
604,High
605,Low
606,Medium
607,None
608,High
609,High
610,None
611,Medium
612,None
613,None
614,Medium
615,None
616,Low
617,High
618,Very_High
619,Very_High
620,Very_High
621,Very_High
622,None
623,Medium
624,High
625,Low
626,High
627,Low
628,Low
629,Medium
630,High
631,Low
632,Medium
633,High
634,Very_High
635,Low
636,Medium
637,Low
638,None
639,Very_High
640,None
641,Low
642,None
643,Medium
644,High
645,Medium
646,High
647,None
648,Low
649,High
650,Medium
651,Medium
652,High
653,Low
654,High
655,None
656,None
657,Low
658,Medium
659,High
660,Medium
661,None
662,None
663,Medium
664,Very_High
665,High
666,Low
667,High
668,Low
669,High
670,None
671,Low
672,None
673,Medium
674,High
675,None
676,Low
677,Very_High
678,Low
679,Medium
680,None
681,None
682,Medium
683,Very_High
684,High
685,Medium
686,Medium
687,Low
688,Medium
689,Medium
690,Medium
691,Low
692,None
693,Very_High
694,Medium
695,None
696,Very_High
697,High
698,Medium
699,Very_High
700,High
701,None
702,Medium
703,Medium
704,None
705,None
706,Low
707,None
708,High
709,None
710,Low
711,None
712,None
713,None
714,Low
715,High
716,Medium
717,High
718,Very_High
719,High
720,High
721,Medium
722,Low
723,Low
724,None
725,None
726,Very_High
727,Medium
728,High
729,None
730,High
731,None
732,Low
733,Medium
734,Medium
735,Low
736,Very_High
737,Medium
738,Medium
739,None
740,Medium
741,Medium
742,None
743,None
744,High
745,None
746,Low
747,Low
748,Low
749,Very_High
750,Very_High
751,Low
752,None
753,Medium
754,Very_High
755,Low
756,Low
757,Low
758,None
759,None
760,None
761,None
762,None
763,High
764,None
765,Low
766,High
767,None
768,None
769,Low
770,Medium
771,Medium
772,Medium
773,High
774,None
775,Medium
776,Low
777,None
778,Medium
779,High
780,Medium
781,None
782,None
783,High
784,Medium
785,Medium
786,High
787,Low
788,Medium
789,Low
790,Low
791,Low
792,Medium
793,Medium
794,None
795,Low
796,Medium
797,Low
798,Very_High
799,None
800,Medium
801,Medium
802,Low
803,Medium
804,None
805,Medium
806,High
807,Low
808,High
809,High
810,Very_High
811,None
812,None
813,None
814,None
815,Low
816,Low
817,Very_High
818,Medium
819,Medium
820,Low
821,None
822,High
823,Very_High
824,High
825,None
826,High
827,None
828,None
829,Low
830,Very_High
831,None
832,None
833,Medium
834,None
835,Low
836,None
837,Medium
838,None
839,None
840,Medium
841,Low
842,High
843,High
844,Low
845,Medium
846,Medium
847,High
848,None
849,Very_High
850,Low
851,Medium
852,Very_High
853,Low
854,None
855,High
856,High
857,Medium
858,Low
859,Medium
860,None
861,None
862,Very_High
863,Medium
864,None
865,None
866,Low
867,High
868,Low
869,Low
870,Medium
871,Medium
872,Low
873,Medium
874,Medium
875,High
876,Medium
877,Medium
878,None
879,Medium
880,Low
881,Medium
882,Very_High
883,Medium
884,None
885,Medium
886,Medium
887,High
888,None
889,None
890,Medium
891,Medium
892,None
893,High
894,High
895,Medium
896,Low
897,Low
898,High
899,High
900,Medium
901,None
902,Medium
903,Medium
904,Very_High
905,Very_High
906,Medium
907,Medium
908,Low
909,Medium
910,Low
911,Low
912,Low
913,None
914,Medium
915,Medium
916,Low
917,Medium
918,None
919,None
920,Medium
921,None
922,High
923,Low
924,None
925,High
926,High
927,None
928,Medium
929,Low
930,None
931,Very_High
932,Medium
933,Medium
934,Medium
935,None
936,Medium
937,Low
938,Low
939,Low
940,Low
941,Medium
942,Low
943,None
944,Medium
945,None
946,High
947,None
948,High
949,Medium
950,Very_High
951,Low
952,None
953,High
954,High
955,None
956,Medium
957,High
958,Medium
959,None
960,None
961,Low
962,None
963,None
964,Low
965,Low
966,High
967,Low
968,High
969,None
970,Low
971,Low
972,High
973,None
974,High
975,Low
976,Very_High
977,None
978,High
979,Low
980,None
981,Low
982,Low
983,None
984,Low
985,High
986,None
987,None
988,High
989,None
990,None
991,None
992,Medium
993,High
994,Low
995,Low
996,Medium
997,Very_High
998,Low
999,None
1000,None
1001,None
1002,None
1003,None
1004,Very_High
1005,High
1006,Medium
1007,None
1008,Low
1009,High
1010,None
1011,Very_High
1012,Low
1013,None
1014,Low
1015,Medium
1016,Low
1017,Low
1018,Low
1019,Low
1020,Medium
1021,None
1022,High
1023,High
1024,Low
1025,None
1026,Low
1027,None
1028,Low
1029,Medium
1030,Very_High
1031,Very_High
1032,Medium
1033,Very_High
1034,Low
1035,None
1036,High
1037,None
1038,High
1039,None
1040,Medium
1041,Medium
1042,Low
1043,Medium
1044,Very_High
1045,Medium
1046,Very_High
1047,Very_High
1048,Very_High
1049,Medium
1050,Medium
1051,None
1052,None
1053,Low
1054,Low
1055,None
1056,High
1057,None
1058,None
1059,Very_High
1060,High
1061,None
1062,Low
1063,None
1064,Low
1065,Medium
1066,Medium
1067,Low
1068,High
1069,Medium
1070,Low
1071,Medium
1072,High
1073,High
1074,None
1075,High
1076,Very_High
1077,Low
1078,Medium
1079,Medium
1080,None
1081,High
1082,Low
1083,Medium
1084,None
1085,Medium
1086,High
1087,Medium
1088,High
1089,High
1090,Medium
1091,None
1092,Very_High
1093,None
1094,Low
1095,Low
1096,Medium
1097,None
1098,None
1099,High
1100,None
1101,None
1102,High
1103,Low
1104,None
1105,None
1106,None
1107,None
1108,None
1109,Medium
1110,None
1111,None
1112,None
1113,Medium
1114,Low
1115,Low
1116,None
1117,High
1118,Medium
1119,Low
1120,High
1121,Very_High
1122,None
1123,None
1124,Medium
1125,Low
1126,None
1127,None
1128,Very_High
1129,None
1130,Medium
1131,High
1132,Low
1133,High
1134,High
1135,High
1136,Low
1137,Medium
1138,Very_High
1139,Medium
1140,None
1141,Low
1142,None
1143,High
1144,Low
1145,None
1146,None
1147,Low
1148,None
1149,Medium
1150,None
1151,High
1152,None
1153,Low
1154,Medium
1155,High
1156,None
1157,Medium
1158,None
1159,Low
1160,None
1161,Medium
1162,None
1163,None
1164,Low
1165,Medium
1166,Low
1167,None
1168,Low
1169,None
1170,Medium
1171,Low
1172,Low
1173,High
1174,High
1175,None
1176,Very_High
1177,None
1178,None
1179,Medium
1180,High
1181,None
1182,None
1183,None
1184,None
1185,High
1186,Low
1187,Low
1188,None
1189,Low
1190,Very_High
1191,None
1192,Medium
1193,None
1194,Low
1195,None
1196,Medium
1197,Low
1198,Medium
1199,Very_High
1200,High
1201,High
1202,None
1203,Low
1204,Medium
1205,Medium
1206,None
1207,High
1208,High
1209,High
1210,High
1211,Medium
1212,None
1213,Low
1214,High
1215,None
1216,High
1217,Medium
1218,None
1219,Low
1220,None
1221,None
1222,None
1223,None
1224,None
1225,High
1226,Low
1227,Medium
1228,Low
1229,Medium
1230,High
1231,Medium
1232,Low
1233,None
1234,Medium
1235,Low
1236,Low
1237,Low
1238,None
1239,Medium
1240,None
1241,High
1242,None
1243,None
1244,None
1245,None
1246,None
1247,High
1248,None
1249,High
1250,High
1251,High
1252,None
1253,None
1254,High
1255,None
1256,Low
1257,None
1258,None
1259,Low
1260,Medium
1261,None
1262,High
1263,None
1264,Medium
1265,Medium
1266,None
1267,High
1268,Low
1269,None
1270,Medium
1271,Medium
1272,Low
1273,Medium
1274,Medium
1275,Medium
1276,Medium
1277,None
1278,Low
1279,None
1280,Low
1281,Medium
1282,High
1283,High
1284,High
1285,High
1286,High
1287,High
1288,Medium
1289,High
1290,None
1291,Medium
1292,None
1293,None
1294,Low
1295,None
1296,Medium
1297,High
1298,None
1299,None
1300,Low
1301,Medium
1302,None
1303,High
1304,None
1305,Low
1306,High
1307,None
1308,None
1309,High
1310,Medium
1311,Medium
1312,High
1313,None
1314,Low
1315,Medium
1316,Medium
1317,None
1318,High
1319,Medium
1320,Medium
1321,Medium
1322,Very_High
1323,Low
1324,Medium
1325,High
1326,High
1327,Low
1328,Medium
1329,Low
1330,Medium
1331,None
1332,High
1333,Very_High
1334,Medium
1335,None
1336,Low
1337,Low
1338,Medium
1339,None
1340,High
1341,None
1342,Medium
1343,None
1344,Low
