RowId,Speed_Diff
1,None
2,None
3,None
4,Medium
5,None
6,Low
7,Medium
8,Medium
9,Medium
10,Medium
11,None
12,None
13,Medium
14,Medium
15,Medium
16,High
17,None
18,Medium
19,Low
20,None
21,None
22,None
23,Low
24,None
25,Medium
26,Medium
27,Medium
28,None
29,None
30,Medium
31,None
32,None
33,High
34,Medium
35,Low
36,Low
37,Low
38,High
39,High
40,None
41,None
42,None
43,Medium
44,Very_High
45,High
46,None
47,Medium
48,None
49,Medium
50,Low
51,High
52,Medium
53,Medium
54,Medium
55,None
56,High
57,High
58,High
59,High
60,None
61,None
62,Low
63,None
64,None
65,Very_High
66,None
67,High
68,Low
69,High
70,Medium
71,None
72,High
73,Medium
74,Medium
75,High
76,High
77,None
78,Low
79,Medium
80,High
81,Low
82,Medium
83,Very_High
84,None
85,None
86,Low
87,None
88,Medium
89,None
90,Medium
91,Medium
92,None
93,None
94,High
95,Medium
96,None
97,Very_High
98,None
99,None
100,Very_High
101,Medium
102,Medium
103,None
104,None
105,Medium
106,Medium
107,Very_High
108,Medium
109,Low
110,None
111,Medium
112,Low
113,High
114,Medium
115,None
116,Low
117,Low
118,None
119,Low
120,High
121,None
122,None
123,Medium
124,Low
125,Medium
126,Medium
127,None
128,High
129,Medium
130,None
131,High
132,None
133,Medium
134,Medium
135,Very_High
136,Low
137,None
138,Medium
139,Very_High
140,Medium
141,None
142,Low
143,High
144,Medium
145,Low
146,Medium
147,Medium
148,Medium
149,High
150,None
151,High
152,None
153,None
154,Medium
155,Very_High
156,Medium
157,Medium
158,High
159,Medium
160,Low
161,High
162,High
163,None
164,Low
165,Medium
166,None
167,Medium
168,None
169,Low
170,None
171,None
172,Medium
173,None
174,None
175,Low
176,None
177,Medium
178,Medium
179,Low
180,None
181,High
182,High
183,None
184,High
185,None
186,None
187,Medium
188,High
189,High
190,None
191,None
192,Low
193,Very_High
194,Medium
195,None
196,None
197,High
198,Medium
199,Low
200,Very_High
201,None
202,Low
203,Medium
204,None
205,Medium
206,None
207,High
208,Low
209,Medium
210,None
211,None
212,None
213,High
214,None
215,Low
216,None
217,Medium
218,High
219,High
220,None
221,Medium
222,None
223,Medium
224,Very_High
225,High
226,None
227,Low
228,Medium
229,None
230,Very_High
231,None
232,High
233,None
234,None
235,None
236,None
237,None
238,Medium
239,Medium
240,None
241,None
242,High
243,High
244,None
245,Low
246,Medium
247,None
248,None
249,Medium
250,Medium
251,None
252,Medium
253,Medium
254,Low
255,High
256,High
257,None
258,None
259,None
260,None
261,None
262,None
263,Medium
264,Medium
265,Low
266,Medium
267,High
268,Medium
269,None
270,None
271,None
272,None
273,Medium
274,Low
275,Medium
276,Low
277,Medium
278,High
279,None
280,None
281,High
282,None
283,None
284,None
285,None
286,Medium
287,Medium
288,None
289,High
290,Very_High
291,None
292,None
293,Low
294,Very_High
295,None
296,Medium
297,Low
298,Medium
299,None
300,None
301,None
302,None
303,None
304,Low
305,Low
306,High
307,Medium
308,None
309,None
310,Low
311,None
312,Medium
313,None
314,Medium
315,None
316,Very_High
317,Low
318,High
319,High
320,Medium
321,Low
322,Medium
323,None
324,Medium
325,None
326,High
327,Low
328,Medium
329,Medium
330,Low
331,High
332,Low
333,None
334,High
335,None
336,Very_High
337,None
338,None
339,High
340,High
341,None
342,None
343,None
344,Low
345,None
346,Medium
347,None
348,None
349,Low
350,Medium
351,None
352,High
353,Low
354,Very_High
355,High
356,Very_High
357,None
358,None
359,High
360,High
361,None
362,None
363,Low
364,Very_High
365,Medium
366,Medium
367,None
368,High
369,None
370,None
371,Medium
372,Medium
373,None
374,None
375,None
376,None
377,None
378,None
379,Very_High
380,None
381,Medium
382,None
383,Low
384,High
385,None
386,Low
387,None
388,Very_High
389,Medium
390,Medium
391,None
392,Medium
393,High
394,Low
395,Medium
396,None
397,Medium
398,None
399,Low
400,None
401,None
402,High
403,Low
404,High
405,None
406,High
407,Medium
408,None
409,Medium
410,None
411,None
412,None
413,Medium
414,None
415,Low
416,High
417,None
418,None
419,Medium
420,High
421,None
422,None
423,Medium
424,None
425,None
426,None
427,Low
428,Low
429,High
430,High
431,Medium
432,Medium
433,None
434,High
435,Medium
436,None
437,None
438,Low
439,None
440,None
441,Medium
442,Medium
443,Very_High
444,Medium
445,Low
446,High
447,None
448,Medium
449,Low
450,High
451,High
452,Low
453,None
454,None
455,None
456,Low
457,High
458,None
459,None
460,High
461,None
462,Low
463,Medium
464,None
465,None
466,High
467,Medium
468,Low
469,Medium
470,High
471,Medium
472,None
473,Medium
474,None
475,Very_High
476,Low
477,Low
478,High
479,High
480,High
481,Medium
482,Medium
483,Low
484,Very_High
485,Medium
486,None
487,Medium
488,Medium
489,None
490,None
491,High
492,None
493,High
494,None
495,High
496,High
497,None
498,None
499,Low
500,Low
501,Low
502,High
503,None
504,None
505,None
506,Medium
507,None
508,None
509,None
510,None
511,None
512,None
513,Medium
514,Low
515,None
516,None
517,Very_High
518,Medium
519,Very_High
520,None
521,High
522,None
523,None
524,None
525,Medium
526,Low
527,None
528,None
529,High
530,None
531,Very_High
532,Medium
533,Medium
534,Low
535,Medium
536,Medium
537,Medium
538,None
539,Medium
540,None
541,High
542,High
543,None
544,High
545,High
546,None
547,None
548,None
549,High
550,None
551,Very_High
552,Medium
553,None
554,None
555,High
556,Low
557,High
558,None
559,Medium
560,Medium
561,Medium
562,None
563,None
564,None
565,None
566,Low
567,Medium
568,Medium
569,High
570,None
571,None
572,Very_High
573,High
574,None
575,None
576,High
577,Medium
578,None
579,Low
580,None
581,High
582,Low
583,Medium
584,High
585,Very_High
586,None
587,None
588,Medium
589,Low
590,High
591,Medium
592,None
593,High
594,None
595,None
596,None
597,None
598,Medium
599,Medium
600,Low
601,High
602,High
603,Low
604,High
605,Low
606,Medium
607,None
608,High
609,High
610,None
611,Medium
612,None
613,None
614,Low
615,None
616,None
617,Very_High
618,Very_High
619,High
620,Very_High
621,Very_High
622,None
623,High
624,Very_High
625,Medium
626,High
627,None
628,Low
629,Medium
630,Medium
631,Low
632,Medium
633,High
634,Very_High
635,Low
636,Medium
637,None
638,None
639,Very_High
640,None
641,None
642,None
643,Medium
644,High
645,Medium
646,High
647,None
648,None
649,Medium
650,Medium
651,Medium
652,Very_High
653,Low
654,High
655,Low
656,None
657,None
658,Medium
659,High
660,None
661,None
662,None
663,Medium
664,High
665,High
666,Low
667,High
668,Low
669,Medium
670,None
671,None
672,None
673,Medium
674,Medium
675,None
676,Low
677,Very_High
678,None
679,Medium
680,None
681,None
682,High
683,Very_High
684,Medium
685,Medium
686,Low
687,None
688,Medium
689,Medium
690,High
691,None
692,None
693,Medium
694,Medium
695,None
696,Medium
697,Very_High
698,Medium
699,Very_High
700,High
701,None
702,Medium
703,High
704,None
705,None
706,None
707,None
708,High
709,None
710,None
711,Medium
712,Low
713,None
714,Low
715,High
716,Medium
717,High
718,Medium
719,High
720,Medium
721,None
722,Low
723,Medium
724,None
725,None
726,Very_High
727,Medium
728,Low
729,None
730,High
731,High
732,Medium
733,Low
734,Medium
735,Medium
736,High
737,Medium
738,Medium
739,None
740,Medium
741,High
742,None
743,None
744,High
745,Low
746,Low
747,Low
748,None
749,Very_High
750,Very_High
751,Medium
752,None
753,High
754,Very_High
755,Low
756,Low
757,Low
758,None
759,None
760,None
761,Low
762,None
763,High
764,Low
765,None
766,Medium
767,None
768,None
769,Medium
770,Low
771,Low
772,Medium
773,Medium
774,None
775,Low
776,Low
777,None
778,Medium
779,Medium
780,Medium
781,None
782,Low
783,Medium
784,High
785,Medium
786,High
787,Low
788,High
789,Low
790,None
791,Medium
792,Medium
793,Medium
794,None
795,Medium
796,None
797,None
798,High
799,None
800,Medium
801,None
802,Medium
803,High
804,Low
805,Medium
806,High
807,High
808,None
809,Medium
810,Very_High
811,None
812,None
813,None
814,None
815,Low
816,Low
817,Very_High
818,Medium
819,Medium
820,Low
821,Low
822,High
823,Very_High
824,High
825,None
826,Medium
827,Medium
828,None
829,None
830,Very_High
831,None
832,None
833,Low
834,None
835,None
836,None
837,Medium
838,Low
839,None
840,Medium
841,None
842,Medium
843,High
844,None
845,Medium
846,Medium
847,High
848,None
849,Very_High
850,Medium
851,Medium
852,High
853,Low
854,None
855,Medium
856,High
